Gemeinde,PaxGas,PaxElektrizität,PaxÖl,PaxKeine,PaxUnbestimmt,PaxWeitere
Drei Höfe,5.0,53.0,315.0,0.0,232.0,147.0
Duggingen,22.0,25.0,730.0,258.0,0.0,540.0
Duillier,551.0,176.0,258.0,0.0,98.0,81.0
Dulliken,1068.0,231.0,2298.0,18.0,917.0,645.0
Dully,14.0,110.0,243.0,0.0,151.0,139.0
Dägerlen,0.0,54.0,311.0,0.0,416.0,294.0
Dällikon,718.0,124.0,1737.0,0.0,1550.0,174.0
Däniken,335.0,241.0,1388.0,0.0,629.0,351.0
Dänikon,3.0,66.0,1147.0,4.0,362.0,268.0
Därligen,0.0,14.0,194.0,0.0,71.0,133.0
Därstetten,1.0,27.0,280.0,3.0,107.0,463.0
Dättlikon,0.0,32.0,229.0,0.0,294.0,231.0
Démoret,36.0,5.0,62.0,0.0,23.0,39.0
Dörflingen,2.0,13.0,384.0,0.0,280.0,343.0
Döttingen,10.0,178.0,1311.0,0.0,708.0,2050.0
Dübendorf,10290.0,358.0,9501.0,75.0,7850.0,2065.0
Düdingen,268.0,394.0,2564.0,11.0,3268.0,2380.0
Dürnten,1944.0,278.0,2652.0,41.0,1902.0,877.0
Dürrenroth,4.0,54.0,280.0,3.0,181.0,643.0
Dürrenäsch,2.0,47.0,584.0,0.0,482.0,241.0
Ebikon,1967.0,1025.0,5359.0,350.0,3162.0,2368.0
Ebnat-Kappel,1721.0,145.0,897.0,3.0,1326.0,1181.0
Echallens,2223.0,720.0,1968.0,10.0,453.0,355.0
Echandens,1071.0,361.0,1017.0,0.0,233.0,100.0
Echarlens,0.0,46.0,374.0,1.0,235.0,229.0
Echichens,667.0,340.0,1376.0,16.0,394.0,361.0
Eclépens,48.0,89.0,163.0,4.0,52.0,852.0
Ecublens (FR),20.0,16.0,110.0,0.0,140.0,101.0
Ecublens (VD),5937.0,253.0,4460.0,0.0,635.0,2005.0
Ederswiler,0.0,1.0,75.0,0.0,4.0,43.0
Egerkingen,1280.0,165.0,1451.0,0.0,1010.0,295.0
Egg,53.0,268.0,5037.0,32.0,2588.0,911.0
Eggenwil,0.0,31.0,487.0,0.0,493.0,66.0
Eggerberg,0.0,23.0,146.0,0.0,44.0,125.0
Eggersriet,365.0,87.0,833.0,10.0,354.0,813.0
Eggiwil,0.0,72.0,507.0,0.0,477.0,1575.0
Eglisau,31.0,314.0,1794.0,4.0,2443.0,923.0
Egliswil,231.0,72.0,498.0,0.0,380.0,332.0
Egnach,1248.0,150.0,1468.0,11.0,1130.0,950.0
Egolzwil,5.0,45.0,488.0,0.0,880.0,192.0
Ehrendingen,0.0,120.0,2821.0,0.0,1499.0,452.0
Eich,2.0,77.0,525.0,0.0,671.0,359.0
Eichberg,180.0,45.0,533.0,3.0,267.0,551.0
Eiken,4.0,91.0,1014.0,0.0,919.0,322.0
Einsiedeln,2493.0,1004.0,6928.0,65.0,2352.0,3550.0
Eischoll,4.0,53.0,96.0,0.0,4.0,296.0
Eisten,0.0,89.0,28.0,0.0,9.0,79.0
Elgg,10.0,225.0,1676.0,0.0,1495.0,1647.0
Ellikon an der Thur,6.0,48.0,565.0,0.0,274.0,144.0
Elsau,21.0,164.0,1462.0,0.0,1374.0,693.0
Embd,0.0,39.0,103.0,2.0,48.0,94.0
Embrach,60.0,517.0,5412.0,14.0,2465.0,1398.0
Emmen,4087.0,874.0,14860.0,50.0,7234.0,4172.0
Emmetten,17.0,137.0,458.0,15.0,467.0,538.0
Endingen,4.0,122.0,406.0,15.0,381.0,1704.0
Engelberg,4.0,536.0,1936.0,11.0,677.0,1114.0
Enges,2.0,12.0,132.0,0.0,61.0,79.0
Ennetbaden,914.0,184.0,1548.0,3.0,594.0,274.0
Ennetbürgen,2.0,387.0,2188.0,0.0,1669.0,811.0
Ennetmoos,0.0,112.0,729.0,0.0,637.0,725.0
Entlebuch,0.0,148.0,1058.0,0.0,589.0,1577.0
Epalinges,2833.0,742.0,3837.0,0.0,1227.0,1231.0
Ependes (VD),140.0,59.0,133.0,0.0,22.0,33.0
Eppenberg-Wöschnau,2.0,14.0,230.0,0.0,57.0,32.0
Epsach,0.0,17.0,142.0,0.0,95.0,98.0
Eptingen,0.0,26.0,223.0,63.0,0.0,238.0
Ergisch,1.0,89.0,9.0,0.0,6.0,101.0
Eriswil,0.0,40.0,448.0,2.0,171.0,764.0
Eriz,0.0,20.0,127.0,0.0,80.0,312.0
Erlach,2.0,90.0,818.0,13.0,199.0,279.0
Erlen,1051.0,136.0,1446.0,4.0,759.0,471.0
Erlenbach (ZH),1923.0,122.0,1825.0,7.0,1397.0,195.0
Erlenbach im Simmental,0.0,87.0,500.0,9.0,258.0,919.0
Erlinsbach (AG),176.0,439.0,1835.0,13.0,1470.0,579.0
Erlinsbach (SO),157.0,110.0,1311.0,0.0,934.0,1061.0
Ermatingen,1249.0,195.0,951.0,4.0,791.0,537.0
Ermensee,37.0,62.0,257.0,0.0,307.0,359.0
Ernen,0.0,168.0,87.0,1.0,29.0,265.0
Erschwil,0.0,36.0,470.0,0.0,234.0,210.0
Ersigen,114.0,187.0,770.0,0.0,365.0,710.0
Erstfeld,0.0,173.0,1677.0,6.0,1076.0,1011.0
Eschenbach (LU),7.0,129.0,1329.0,0.0,1240.0,1046.0
Eschenbach (SG),1040.0,420.0,3127.0,10.0,3080.0,2368.0
Eschenz,710.0,20.0,441.0,4.0,318.0,447.0
Eschert,0.0,23.0,227.0,0.0,48.0,87.0
Eschlikon,1730.0,88.0,1444.0,5.0,721.0,732.0
Escholzmatt-Marbach,6.0,231.0,921.0,5.0,781.0,2652.0
Essertines-sur-Rolle,59.0,155.0,347.0,3.0,122.0,117.0
Essertines-sur-Yverdon,33.0,130.0,445.0,3.0,267.0,189.0
Estavayer,1258.0,573.0,2933.0,30.0,2625.0,2774.0
Etagnières,505.0,161.0,313.0,0.0,97.0,92.0
Etoy,1540.0,154.0,792.0,13.0,190.0,205.0
Ettingen,2110.0,97.0,1387.0,748.0,0.0,1164.0
Ettiswil,3.0,65.0,1184.0,0.0,929.0,659.0
Etziken,178.0,13.0,346.0,16.0,287.0,188.0
Evilard,1078.0,69.0,753.0,7.0,463.0,257.0
Evionnaz,32.0,188.0,561.0,0.0,498.0,124.0
Evolène,7.0,355.0,632.0,1.0,242.0,541.0
Eysins,199.0,280.0,684.0,0.0,383.0,179.0
Fahrni,6.0,39.0,166.0,7.0,177.0,424.0
Fahrwangen,0.0,147.0,1115.0,0.0,769.0,381.0
